airline_enc,destination_enc,stops_num,departure_hour,day_of_week,month,day,price
8,5,0,21,0,3,9,554.0
30,5,0,17,0,3,9,579.0
8,5,0,9,0,3,9,579.0
30,5,0,1,0,3,9,852.0
16,5,3,16,0,3,9,4396.0
15,5,0,13,1,3,10,368.0
24,5,0,14,1,3,10,391.0
0,5,0,4,1,3,10,435.0
8,5,0,21,1,3,10,458.0
30,5,0,17,1,3,10,467.0
24,5,0,18,1,3,10,391.0
8,5,0,2,1,3,10,534.0
30,5,0,9,1,3,10,572.0
8,5,0,9,1,3,10,585.0
30,5,0,1,1,3,10,639.0
0,5,0,2,1,3,10,654.0
0,5,0,14,1,3,10,735.0
24,5,3,7,1,3,10,4429.0
30,5,1,11,2,3,11,350.0
0,5,0,4,2,3,11,363.0
30,5,0,9,2,3,11,379.0
8,5,0,2,2,3,11,458.0
30,5,0,23,2,3,11,399.0
8,5,0,21,2,3,11,458.0
24,5,0,14,2,3,11,477.0
24,5,0,18,2,3,11,477.0
8,5,0,9,2,3,11,521.0
0,5,0,2,2,3,11,614.0
30,5,0,1,2,3,11,716.0
0,5,0,4,3,3,12,336.0
15,5,0,13,3,3,12,368.0
30,5,0,17,3,3,12,379.0
24,5,0,18,3,3,12,390.0
8,5,0,21,3,3,12,402.0
0,5,0,14,3,3,12,408.0
30,5,0,9,3,3,12,433.0
8,5,0,9,3,3,12,491.0
8,5,0,2,3,3,12,542.0
0,5,0,2,3,3,12,618.0
30,5,0,1,3,3,12,627.0
24,5,3,7,3,3,12,4348.0
30,5,1,11,4,3,13,350.0
30,5,0,17,4,3,13,379.0
0,5,0,4,4,3,13,394.0
8,5,0,2,4,3,13,415.0
8,5,0,21,4,3,13,415.0
0,5,0,14,4,3,13,394.0
30,5,0,9,4,3,13,433.0
24,5,0,14,4,3,13,477.0
24,5,0,18,4,3,13,477.0
30,5,0,1,4,3,13,542.0
8,5,0,9,4,3,13,593.0
0,5,0,2,4,3,13,645.0
24,5,0,18,5,3,14,457.0
8,5,0,2,5,3,14,458.0
30,5,1,11,5,3,14,458.0
0,5,0,14,5,3,14,517.0
30,5,0,1,5,3,14,534.0
1,5,1,16,5,3,14,467.0
30,5,0,9,5,3,14,534.0
30,5,0,17,5,3,14,534.0
8,5,0,21,5,3,14,534.0
0,5,0,4,5,3,14,547.0
8,5,0,9,5,3,14,635.0
0,5,0,2,5,3,14,784.0
16,5,3,16,5,3,14,4348.0
8,5,0,21,6,3,15,483.0
0,5,0,4,6,3,15,494.0
8,5,0,2,6,3,15,534.0
30,5,0,17,6,3,15,551.0
24,5,0,18,6,3,15,553.0
1,5,1,16,6,3,15,467.0
29,5,1,11,6,3,15,520.0
0,5,0,14,6,3,15,563.0
30,5,0,9,6,3,15,628.0
8,5,0,9,6,3,15,660.0
30,5,0,1,6,3,15,834.0
0,5,0,2,6,3,15,850.0
0,5,0,4,0,3,16,400.0
24,5,0,18,0,3,16,401.0
30,5,0,17,0,3,16,467.0
30,5,1,11,0,3,16,478.0
8,5,0,21,0,3,16,491.0
30,5,0,9,0,3,16,554.0
30,5,0,1,0,3,16,579.0
8,5,0,9,0,3,16,579.0
0,5,0,14,0,3,16,630.0
8,5,0,2,0,3,16,655.0
0,5,0,2,0,3,16,660.0
24,5,3,18,0,3,16,4325.0
0,5,0,4,1,3,17,383.0
8,5,0,2,1,3,17,420.0
24,5,0,18,1,3,17,440.0
30,5,0,17,1,3,17,483.0
8,5,0,21,1,3,17,420.0
0,5,0,14,1,3,17,424.0
24,5,0,14,1,3,17,460.0
8,5,0,9,1,3,17,509.0
30,5,0,9,1,3,17,534.0
0,5,0,2,1,3,17,650.0
30,5,0,1,1,3,17,711.0
24,5,3,7,1,3,17,4325.0
0,5,0,4,2,3,18,323.0
24,5,0,18,2,3,18,371.0
8,5,1,20,2,3,18,407.0
24,5,0,14,2,3,18,401.0
30,5,0,9,2,3,18,448.0
30,5,0,23,2,3,18,448.0
30,5,0,1,2,3,18,483.0
8,5,0,21,2,3,18,496.0
8,5,0,2,2,3,18,521.0
0,5,0,2,2,3,18,559.0
8,5,0,9,2,3,18,597.0
0,5,0,4,3,3,19,322.0
15,5,0,13,3,3,19,377.0
30,5,1,11,3,3,19,399.0
24,5,0,18,3,3,19,401.0
8,5,0,21,3,3,19,402.0
0,5,0,14,3,3,19,322.0
30,5,0,1,3,3,19,478.0
30,5,0,9,3,3,19,478.0
30,5,0,17,3,3,19,478.0
8,5,0,2,3,3,19,503.0
8,5,0,9,3,3,19,579.0
0,5,0,2,3,3,19,589.0
24,5,3,7,3,3,19,4336.0
0,5,0,4,4,3,20,323.0
0,5,0,14,4,3,20,335.0
15,5,0,13,4,3,20,390.0
30,5,0,9,4,3,20,399.0
8,5,0,2,4,3,20,503.0
30,5,1,11,4,3,20,382.0
24,5,0,18,4,3,20,425.0
24,5,0,14,4,3,20,477.0
30,5,0,1,4,3,20,478.0
30,5,0,17,4,3,20,478.0
8,5,0,9,4,3,20,579.0
8,5,0,21,4,3,20,579.0
0,5,0,2,4,3,20,621.0
0,5,0,4,5,3,21,344.0
30,5,0,9,5,3,21,483.0
24,5,0,18,5,3,21,497.0
15,5,0,13,5,3,21,513.0
8,5,0,2,5,3,21,585.0
0,5,0,14,5,3,21,405.0
1,5,1,16,5,3,21,469.0
30,5,0,1,5,3,21,483.0
0,5,0,2,5,3,21,606.0
8,5,0,9,5,3,21,686.0
8,5,0,21,5,3,21,686.0
30,5,0,17,5,3,21,688.0
16,5,3,16,5,3,21,4443.0
0,5,0,14,6,3,22,463.0
30,5,0,9,6,3,22,534.0
8,5,0,9,6,3,22,635.0
1,5,1,16,6,3,22,419.0
18,5,1,4,6,3,22,472.0
8,5,1,20,6,3,22,508.0
24,5,0,18,6,3,22,533.0
30,5,0,1,6,3,22,534.0
0,5,0,4,6,3,22,544.0
24,5,0,14,6,3,22,563.0
8,5,1,20,6,3,22,585.0
15,5,0,13,6,3,22,590.0
8,5,0,2,6,3,22,635.0
8,5,0,21,6,3,22,635.0
0,5,0,2,6,3,22,744.0
